raw_acc:3d:mean_x,raw_acc:3d:mean_y,raw_acc:3d:mean_z,raw_acc:3d:std_x,raw_acc:3d:std_y,raw_acc:3d:std_z,raw_acc:3d:ro_xy,raw_acc:3d:ro_xz,raw_acc:3d:ro_yz
-0.010655,0.004106,1.012727,0.0037,0.004931,0.008583,0.025814,-0.262229,-0.042429
0.236577,0.455708,0.862627,0.005076,0.005478,0.007436,0.075752,-0.027228,-0.056721
-0.111518,0.622952,0.609078,0.233402,0.380579,0.268189,0.767988,-0.649266,-0.766753
0.094568,0.182405,0.984683,0.002039,0.002418,0.003613,0.026935,-0.040445,-0.045573
-0.008206,0.025217,1.001506,0.051832,0.12215,0.090128,-0.398089,-0.112088,-0.433686
-0.005934,-0.109573,1.002673,0.001105,0.001136,0.001718,0.008246,-0.002443,0.041268
0.130253,-0.172883,0.988021,0.00466,0.00455,0.007483,-0.018774,-0.009086,-0.026301
0.201532,-0.114611,0.980206,0.001148,0.001151,0.001819,0.02275,-0.117902,-0.003393
-0.00676,0.006056,1.009672,0.001299,0.001585,0.00287,0.202133,-0.120905,-0.006306
-0.015649,-0.003165,1.00846,0.001085,0.001145,0.001821,-0.017237,-0.078583,-0.109663
-0.011674,-0.048253,0.996035,0.120022,0.146653,0.120505,-0.270014,-0.030627,-0.418523
-0.006326,0.006627,1.007626,0.004965,0.004731,0.007666,0.030552,-0.05653,-0.002357
0.062813,0.141556,0.995041,0.002229,0.00239,0.003516,0.007668,0.002569,-0.034813
-0.032497,-0.185823,0.987773,0.001082,0.001105,0.001723,0.089497,-0.08686,-0.010833
-0.160032,-0.07995,0.994699,0.004699,0.004686,0.007077,0.049941,-0.020639,0.040016
0.200765,-0.115013,0.981144,0.001055,0.001117,0.001965,-0.010106,0.007308,-0.019784
0.201971,-0.114849,0.97991,0.001113,0.001149,0.001697,0.054019,-0.001084,-0.03641
-0.173724,-0.016306,0.991133,0.001085,0.001146,0.001743,0.013753,-0.049027,-0.048415
-0.134767,-0.081223,0.995214,0.001098,0.001166,0.001763,0.005572,-0.054809,-0.017387
-0.024437,-0.005702,1.008884,0.00192,0.003833,0.001919,-0.347181,0.025147,0.030454
0.177587,0.955331,0.03862,0.292321,0.527846,0.376379,0.267433,0.337441,0.049993
-0.011385,0.007129,1.013482,0.001312,0.002303,0.002076,0.201686,-0.06921,-0.028773
-0.099245,0.263356,0.966661,0.001945,0.002361,0.002657,0.12472,-0.134871,-0.30368
-0.134228,-0.082209,0.99633,0.001148,0.001174,0.001742,0.004506,-0.015818,-0.021762
0.217589,0.045911,0.980377,0.004705,0.004741,0.006996,-0.04111,0.05546,-0.041648
0.035198,0.982862,0.039037,0.09767,0.089615,0.125672,-0.021234,-0.155444,-0.211726
-0.03076,0.000594,1.011567,0.005033,0.004997,0.008668,-0.052012,0.011297,-0.028809
-0.009287,-0.004682,1.00523,0.002349,0.001474,0.002324,-0.327997,-0.02526,0.024665
-0.212297,-0.168321,0.972443,0.001134,0.001139,0.001818,0.081266,-0.073605,-0.106288
-0.007977,-0.034563,1.00628,0.002495,0.002282,0.004086,0.072174,0.048021,0.045508
0.254686,0.334673,0.909576,0.001286,0.001847,0.002129,0.180911,-0.139605,-0.358713
0.020959,0.90761,0.406595,0.113068,0.078431,0.108069,-0.156499,0.150603,-0.427229
-0.061149,-0.063285,1.005493,0.001095,0.001168,0.001887,-0.017232,-0.0142,-0.029307
-0.022001,-0.004039,1.010643,0.001975,0.00237,0.003373,-0.038372,-0.343492,-0.053673
0.201619,-0.114966,0.981393,0.001157,0.001164,0.001744,0.01076,-0.020207,-0.018938
-0.007727,-0.004912,1.011322,0.008228,0.006066,0.021964,-0.120466,-0.062411,-0.11648
0.002511,-0.016604,1.008606,0.003865,0.005824,0.002431,0.914064,0.030864,0.069503
-0.010056,0.003174,1.014083,0.004871,0.004911,0.00768,-0.007905,0.063891,-0.041687
-0.030803,0.001469,1.010795,0.004683,0.004952,0.007921,-0.017647,0.009316,0.05459
0.200087,-0.114893,0.984091,0.001091,0.001186,0.001829,0.1036,-0.013959,-0.032036
-0.00889,0.006157,1.014174,0.001215,0.001385,0.001878,0.12519,-0.069653,0.064479
-0.173584,-0.01628,0.9912,0.001095,0.001134,0.001811,0.031584,-0.029795,-0.067867
0.183473,0.400191,0.904417,0.032395,0.021244,0.051474,-0.310308,-0.142663,0.084269
-0.008572,0.005625,1.011535,0.001538,0.002413,0.00268,0.546879,-0.005606,0.009705
0.201341,-0.115067,0.980872,0.001114,0.001089,0.001743,-0.023492,0.034315,0.039268
0.053882,0.242667,0.975853,0.004742,0.005031,0.007337,-0.005302,-0.065781,-0.0793
-0.847133,0.029206,0.554091,0.04111,0.032487,0.05166,0.564101,0.579787,0.535046
-0.010168,-0.215969,0.983895,0.001136,0.001105,0.001809,-0.001965,-0.07958,-0.033785
-0.034936,0.225248,0.979971,0.005064,0.008965,0.007762,-0.129194,-0.013751,-0.160342
-0.00655,-0.002881,1.009202,0.004702,0.004664,0.006986,0.010831,-0.00571,0.003454
-0.016004,-0.003657,1.008639,0.001148,0.001152,0.00195,-0.010921,-0.07698,0.082131
-0.006521,-0.000534,1.009395,0.001119,0.001131,0.001972,0.059937,-0.030963,-0.061306
0.266797,0.11641,0.962711,0.004515,0.004946,0.007172,0.004765,0.02017,0.034346
-0.010684,0.005047,1.017632,0.00489,0.00499,0.007284,-0.005933,-0.006631,-0.037148
0.201564,-0.115018,0.980503,0.001108,0.001156,0.001815,-0.047804,-0.076942,-0.050962
-0.035834,0.251106,0.979551,0.025874,0.054777,0.027774,-0.668918,0.461287,-0.627064
0.0311,0.98601,-0.064583,0.04344,0.03556,0.07221,0.097254,0.023235,0.14607
0.022133,0.98539,-0.01314,0.155972,0.193707,0.182425,0.027714,0.360735,-0.103032
0.128531,0.979116,0.029206,0.285455,0.541622,0.398217,0.295711,0.152315,-0.025956
-0.006314,0.004434,1.00859,0.002171,0.00236,0.003514,0.049883,-0.021136,-0.03595
0.070617,0.464622,0.885158,0.00163,0.002629,0.002308,-0.134803,0.063985,-0.44189
0.151136,0.166149,0.980505,0.01242,0.030382,0.015107,0.771136,-0.720996,-0.571293
-0.007074,0.004802,1.004379,0.001536,0.001964,0.001854,0.223249,-0.006295,-0.042873
-0.008339,0.005004,1.008853,0.004987,0.004611,0.00759,0.063149,0.060705,0.010858
0.374522,0.074943,0.931448,0.004671,0.00488,0.007502,0.004033,-0.015957,-0.073113
-0.015735,-0.003217,1.009488,0.001132,0.001149,0.001815,-0.045976,-0.034571,0.03648
0.098185,0.328488,0.944101,0.002293,0.005004,0.002916,0.362311,-0.450899,-0.633001
0.158302,0.967365,0.036773,0.304971,0.523925,0.374832,0.282676,0.385623,0.119206
-0.134242,-0.08119,0.99543,0.001137,0.00114,0.00185,0.045879,-0.069692,-0.037872
0.128044,0.418781,0.892041,0.060153,0.13017,0.072886,0.226795,-0.279449,-0.689949
